Simulation,Time,Algorithm,Cumulative Reward
94,200,Epsilon Greedy,172
94,400,Epsilon Greedy,347
94,600,Epsilon Greedy,523
94,800,Epsilon Greedy,699
94,1000,Epsilon Greedy,871
95,200,Epsilon Greedy,170
95,400,Epsilon Greedy,349
95,600,Epsilon Greedy,531
95,800,Epsilon Greedy,696
95,1000,Epsilon Greedy,863
96,200,Epsilon Greedy,176
96,400,Epsilon Greedy,356
96,600,Epsilon Greedy,528
96,800,Epsilon Greedy,705
96,1000,Epsilon Greedy,871
97,200,Epsilon Greedy,174
97,400,Epsilon Greedy,344
97,600,Epsilon Greedy,510
97,800,Epsilon Greedy,680
97,1000,Epsilon Greedy,853
98,200,Epsilon Greedy,163
98,400,Epsilon Greedy,335
98,600,Epsilon Greedy,500
98,800,Epsilon Greedy,680
98,1000,Epsilon Greedy,859
99,200,Epsilon Greedy,173
99,400,Epsilon Greedy,351
99,600,Epsilon Greedy,525
99,800,Epsilon Greedy,698
99,1000,Epsilon Greedy,868
100,200,Epsilon Greedy,174
100,400,Epsilon Greedy,351
100,600,Epsilon Greedy,528
100,800,Epsilon Greedy,695
100,1000,Epsilon Greedy,870
101,200,UCB,165
101,400,UCB,346
101,600,UCB,517
101,800,UCB,701
101,1000,UCB,876
102,200,UCB,174
102,400,UCB,353
102,600,UCB,528
102,800,UCB,710
102,1000,UCB,898
103,200,UCB,168
103,400,UCB,341
103,600,UCB,526
103,800,UCB,713
103,1000,UCB,890
104,200,UCB,174
104,400,UCB,355
104,600,UCB,526
104,800,UCB,706
104,1000,UCB,882
105,200,UCB,175
105,400,UCB,348
105,600,UCB,523
105,800,UCB,704
105,1000,UCB,883
106,200,UCB,170
106,400,UCB,351
106,600,UCB,529
106,800,UCB,714
106,1000,UCB,903
107,200,UCB,172
107,400,UCB,349
107,600,UCB,525
107,800,UCB,705
107,1000,UCB,886
108,200,UCB,175
108,400,UCB,355
108,600,UCB,528
108,800,UCB,709
108,1000,UCB,884
109,200,UCB,176
109,400,UCB,356
109,600,UCB,528
109,800,UCB,710
109,1000,UCB,891
110,200,UCB,178
110,400,UCB,353
110,600,UCB,528
110,800,UCB,700
110,1000,UCB,879
111,200,UCB,176
111,400,UCB,354
111,600,UCB,534
111,800,UCB,715
111,1000,UCB,891
112,200,UCB,164
112,400,UCB,335
112,600,UCB,519
112,800,UCB,697
112,1000,UCB,877
113,200,UCB,172
113,400,UCB,351
113,600,UCB,537
113,800,UCB,716
113,1000,UCB,894
114,200,UCB,160
114,400,UCB,340
114,600,UCB,519
114,800,UCB,691
114,1000,UCB,865
115,200,UCB,168
115,400,UCB,347
115,600,UCB,521
115,800,UCB,708
115,1000,UCB,892
116,200,UCB,182
116,400,UCB,359
116,600,UCB,536
116,800,UCB,721
116,1000,UCB,904
117,200,UCB,168
117,400,UCB,347
117,600,UCB,523
117,800,UCB,701
117,1000,UCB,884
118,200,UCB,177
118,400,UCB,352
118,600,UCB,527
118,800,UCB,703
118,1000,UCB,882
119,200,UCB,163
119,400,UCB,340
119,600,UCB,515
119,800,UCB,693
119,1000,UCB,873
120,200,UCB,172
120,400,UCB,349
120,600,UCB,534
120,800,UCB,716
120,1000,UCB,897
121,200,UCB,165
121,400,UCB,341
121,600,UCB,520
121,800,UCB,696
121,1000,UCB,870
122,200,UCB,176
122,400,UCB,356
122,600,UCB,534
122,800,UCB,712
122,1000,UCB,893
123,200,UCB,174
123,400,UCB,353
123,600,UCB,528
123,800,UCB,715
123,1000,UCB,902
124,200,UCB,163
124,400,UCB,343
124,600,UCB,518
124,800,UCB,688
124,1000,UCB,867
125,200,UCB,175
125,400,UCB,350
125,600,UCB,534
125,800,UCB,716
125,1000,UCB,899
126,200,UCB,168
126,400,UCB,338
126,600,UCB,521
126,800,UCB,697
126,1000,UCB,879
127,200,UCB,174
127,400,UCB,348
127,600,UCB,524
127,800,UCB,696
127,1000,UCB,873
128,200,UCB,173
128,400,UCB,344
128,600,UCB,513
128,800,UCB,695
128,1000,UCB,873
129,200,UCB,173
129,400,UCB,345
129,600,UCB,521
129,800,UCB,701
129,1000,UCB,881
130,200,UCB,175
130,400,UCB,350
130,600,UCB,535
130,800,UCB,711
130,1000,UCB,889
131,200,UCB,168
131,400,UCB,345
131,600,UCB,521
131,800,UCB,700
131,1000,UCB,878
132,200,UCB,177
132,400,UCB,357
132,600,UCB,536
132,800,UCB,712
132,1000,UCB,893
133,200,UCB,173
133,400,UCB,354
133,600,UCB,530
133,800,UCB,713
133,1000,UCB,886
134,200,UCB,168
134,400,UCB,348
134,600,UCB,530
134,800,UCB,715
134,1000,UCB,899
135,200,UCB,164
135,400,UCB,336
135,600,UCB,510
135,800,UCB,692
135,1000,UCB,876
136,200,UCB,169
136,400,UCB,353
136,600,UCB,535
136,800,UCB,714
136,1000,UCB,898
137,200,UCB,173
137,400,UCB,358
137,600,UCB,538
137,800,UCB,714
137,1000,UCB,892
138,200,UCB,181
138,400,UCB,354
138,600,UCB,526
138,800,UCB,702
138,1000,UCB,887
139,200,UCB,173
139,400,UCB,355
139,600,UCB,528
139,800,UCB,704
139,1000,UCB,877
140,200,UCB,163
140,400,UCB,341
140,600,UCB,518
140,800,UCB,701
140,1000,UCB,881
141,200,UCB,168
141,400,UCB,350
141,600,UCB,527
141,800,UCB,699
141,1000,UCB,883
142,200,UCB,171
142,400,UCB,356
142,600,UCB,535
142,800,UCB,713
142,1000,UCB,898
143,200,UCB,176
143,400,UCB,346
143,600,UCB,521
143,800,UCB,698
143,1000,UCB,879
144,200,UCB,162
144,400,UCB,332
144,600,UCB,506
144,800,UCB,685
144,1000,UCB,859
145,200,UCB,169
145,400,UCB,353
145,600,UCB,533
145,800,UCB,715
145,1000,UCB,893
146,200,UCB,166
146,400,UCB,340
146,600,UCB,520
146,800,UCB,700
146,1000,UCB,882
147,200,UCB,173
147,400,UCB,350
147,600,UCB,532
147,800,UCB,710
147,1000,UCB,890
148,200,UCB,177
148,400,UCB,353
148,600,UCB,530
148,800,UCB,716
148,1000,UCB,892
149,200,UCB,167
149,400,UCB,346
149,600,UCB,531
149,800,UCB,709
149,1000,UCB,892
150,200,UCB,179
150,400,UCB,348
150,600,UCB,523
150,800,UCB,701
150,1000,UCB,875
151,200,UCB,169
151,400,UCB,351
151,600,UCB,536
151,800,UCB,720
151,1000,UCB,896
152,200,UCB,174
152,400,UCB,357
152,600,UCB,534
152,800,UCB,713
152,1000,UCB,894
153,200,UCB,173
153,400,UCB,345
153,600,UCB,522
153,800,UCB,705
153,1000,UCB,889
154,200,UCB,182
154,400,UCB,362
154,600,UCB,536
154,800,UCB,719
154,1000,UCB,888
155,200,UCB,174
155,400,UCB,349
155,600,UCB,527
155,800,UCB,713
155,1000,UCB,892
156,200,UCB,173
156,400,UCB,342
156,600,UCB,523
156,800,UCB,705
156,1000,UCB,891
157,200,UCB,173
157,400,UCB,341
157,600,UCB,516
157,800,UCB,691
157,1000,UCB,874
158,200,UCB,170
158,400,UCB,349
158,600,UCB,523
158,800,UCB,699
158,1000,UCB,876
159,200,UCB,170
159,400,UCB,350
159,600,UCB,525
159,800,UCB,704
159,1000,UCB,890
160,200,UCB,175
160,400,UCB,353
160,600,UCB,532
160,800,UCB,709
160,1000,UCB,896
161,200,UCB,178
161,400,UCB,362
161,600,UCB,543
161,800,UCB,719
161,1000,UCB,897
162,200,UCB,171
162,400,UCB,349
162,600,UCB,525
162,800,UCB,696
162,1000,UCB,869
163,200,UCB,176
163,400,UCB,349
163,600,UCB,525
163,800,UCB,706
163,1000,UCB,888
164,200,UCB,174
164,400,UCB,357
164,600,UCB,534
164,800,UCB,710
164,1000,UCB,892
165,200,UCB,165
165,400,UCB,343
165,600,UCB,527
165,800,UCB,700
165,1000,UCB,882
166,200,UCB,170
166,400,UCB,346
166,600,UCB,528
166,800,UCB,705
166,1000,UCB,877
167,200,UCB,170
167,400,UCB,354
167,600,UCB,534
167,800,UCB,710
167,1000,UCB,889
168,200,UCB,171
168,400,UCB,344
168,600,UCB,525
168,800,UCB,704
168,1000,UCB,885
169,200,UCB,180
169,400,UCB,358
169,600,UCB,541
169,800,UCB,722
169,1000,UCB,889
170,200,UCB,177
170,400,UCB,358
170,600,UCB,533
170,800,UCB,713
170,1000,UCB,895
171,200,UCB,172
171,400,UCB,355
171,600,UCB,535
171,800,UCB,720
171,1000,UCB,900
172,200,UCB,168
172,400,UCB,343
172,600,UCB,515
172,800,UCB,695
172,1000,UCB,874
173,200,UCB,173
173,400,UCB,345
173,600,UCB,521
173,800,UCB,705
173,1000,UCB,882
174,200,UCB,172
174,400,UCB,348
174,600,UCB,528
174,800,UCB,710
174,1000,UCB,888
175,200,UCB,173
175,400,UCB,354
175,600,UCB,531
175,800,UCB,712
175,1000,UCB,893
176,200,UCB,172
176,400,UCB,346
176,600,UCB,524
176,800,UCB,704
176,1000,UCB,887
177,200,UCB,175
177,400,UCB,360
177,600,UCB,532
177,800,UCB,712
177,1000,UCB,887
178,200,UCB,174
178,400,UCB,353
178,600,UCB,535
178,800,UCB,705
178,1000,UCB,881
179,200,UCB,171
179,400,UCB,347
179,600,UCB,530
179,800,UCB,707
179,1000,UCB,887
180,200,UCB,175
180,400,UCB,348
180,600,UCB,528
180,800,UCB,698
180,1000,UCB,872
181,200,UCB,174
181,400,UCB,361
181,600,UCB,540
181,800,UCB,720
181,1000,UCB,892
182,200,UCB,173
182,400,UCB,356
182,600,UCB,536
182,800,UCB,717
182,1000,UCB,894
183,200,UCB,174
183,400,UCB,347
183,600,UCB,526
183,800,UCB,700
183,1000,UCB,871
184,200,UCB,174
184,400,UCB,348
184,600,UCB,528
184,800,UCB,706
184,1000,UCB,878
185,200,UCB,180
185,400,UCB,360
185,600,UCB,539
185,800,UCB,716
185,1000,UCB,899
186,200,UCB,173
186,400,UCB,353
186,600,UCB,531
186,800,UCB,711
186,1000,UCB,898
187,200,UCB,172
187,400,UCB,354
187,600,UCB,536
187,800,UCB,715
187,1000,UCB,890
188,200,UCB,181
188,400,UCB,357
188,600,UCB,539
188,800,UCB,719
188,1000,UCB,901
189,200,UCB,168
189,400,UCB,350
189,600,UCB,530
189,800,UCB,712
189,1000,UCB,899
190,200,UCB,174
190,400,UCB,353
190,600,UCB,528
190,800,UCB,715
190,1000,UCB,902
191,200,UCB,179
191,400,UCB,360
191,600,UCB,544
191,800,UCB,717
191,1000,UCB,892
192,200,UCB,170
192,400,UCB,347
192,600,UCB,531
192,800,UCB,711
192,1000,UCB,897
193,200,UCB,165
193,400,UCB,344
193,600,UCB,526
193,800,UCB,706
193,1000,UCB,888
194,200,UCB,176
194,400,UCB,349
194,600,UCB,528
194,800,UCB,712
194,1000,UCB,896
195,200,UCB,184
195,400,UCB,365
195,600,UCB,544
195,800,UCB,732
195,1000,UCB,915
196,200,UCB,177
196,400,UCB,351
196,600,UCB,530
196,800,UCB,714
196,1000,UCB,891
197,200,UCB,169
197,400,UCB,347
197,600,UCB,529
197,800,UCB,704
197,1000,UCB,886
198,200,UCB,174
198,400,UCB,348
198,600,UCB,530
198,800,UCB,709
198,1000,UCB,884
199,200,UCB,173
199,400,UCB,346
199,600,UCB,534
199,800,UCB,712
199,1000,UCB,889
200,200,UCB,166
200,400,UCB,343
200,600,UCB,518
200,800,UCB,701
200,1000,UCB,876
201,200,Thompson Sampling,170
201,400,Thompson Sampling,353
201,600,Thompson Sampling,526
201,800,Thompson Sampling,709
201,1000,Thompson Sampling,885
202,200,Thompson Sampling,180
202,400,Thompson Sampling,360
202,600,Thompson Sampling,537
202,800,Thompson Sampling,720
202,1000,Thompson Sampling,908
203,200,Thompson Sampling,175
203,400,Thompson Sampling,352
203,600,Thompson Sampling,538
203,800,Thompson Sampling,725
203,1000,Thompson Sampling,903
204,200,Thompson Sampling,180
204,400,Thompson Sampling,362
204,600,Thompson Sampling,535
204,800,Thompson Sampling,717
204,1000,Thompson Sampling,894
205,200,Thompson Sampling,182
205,400,Thompson Sampling,357
205,600,Thompson Sampling,534
205,800,Thompson Sampling,716
205,1000,Thompson Sampling,896
206,200,Thompson Sampling,177
206,400,Thompson Sampling,359
206,600,Thompson Sampling,539
206,800,Thompson Sampling,725
206,1000,Thompson Sampling,914
207,200,Thompson Sampling,178
207,400,Thompson Sampling,357
207,600,Thompson Sampling,533
207,800,Thompson Sampling,715
207,1000,Thompson Sampling,897
208,200,Thompson Sampling,182
208,400,Thompson Sampling,363
208,600,Thompson Sampling,537
208,800,Thompson Sampling,719
208,1000,Thompson Sampling,894
209,200,Thompson Sampling,182
209,400,Thompson Sampling,364
209,600,Thompson Sampling,538
209,800,Thompson Sampling,721
209,1000,Thompson Sampling,902
210,200,Thompson Sampling,184
210,400,Thompson Sampling,361
210,600,Thompson Sampling,538
